 *                                      
 * one_step:  btemp=  1.000E+04 bden=  1.000E+04
 *          time                he4           c12           o16           ne20          mg24          si28          ni56 
      1  0.000000000000E+00  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      2  9.404992320876E-19  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      3  1.034549155296E-17  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      4  2.915547619471E-17  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      5  6.677544547822E-17  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      6  1.420153840452E-16  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      7  2.924952611792E-16  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      8  5.934550154473E-16  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
      9  1.195374523983E-15  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     10  2.399213541055E-15  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     11  4.806891575200E-15  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     12  9.622247643488E-15  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     13  1.925295978006E-14  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     14  3.851438405322E-14  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     15  7.703723259953E-14  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     16  1.540829296921E-13  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     17  3.081743238774E-13  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     18  6.163571122478E-13  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     19  1.232722688989E-12  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     20  2.465453842471E-12  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     21  4.930916149434E-12  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     22  9.861840763361E-12  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     23  1.972368999122E-11  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     24  3.944738844693E-11  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     25  7.889478535834E-11  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     26  1.577895791812E-10  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     27  3.155791668269E-10  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     28  6.311583421182E-10  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     29  1.262316692701E-09  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     30  2.524633393866E-09  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     31  5.049266796197E-09  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     32  1.009853360086E-08  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     33  2.019706721018E-08  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     34  4.039413442883E-08  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     35  8.078826886612E-08  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     36  1.615765377407E-07  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     37  3.231530754899E-07  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     38  6.463061509882E-07  4.000000E-30  1.000000E+00  1.601233E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     39  1.292612301985E-06  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     40  2.585224603978E-06  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     41  5.170449207965E-06  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     42  1.034089841594E-05  4.000000E-30  1.000000E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     43  2.068179683189E-05  4.000000E-30  1.000001E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     44  4.136359366378E-05  4.000000E-30  1.000001E+00  6.648710E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     45  8.272718732757E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     46  8.414030779572E-05  4.000000E-30  1.000002E+00  1.600017E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     47  8.415588641450E-05  4.000000E-30  1.000002E+00  1.600002E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     48  8.416312310543E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     49  8.417759648730E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     50  8.420654325104E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     51  8.426443677851E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     52  8.429523012066E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     53  8.435681680497E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
     54  8.447999017359E-05  4.000000E-30  1.000002E+00  1.600000E-29  2.000000E-29  2.400000E-29  2.800000E-29  5.600000E-29
